X,Y,id,pk_uid,cod_stz,den_uff,cod_gnz,x_stz,y_stz,tip_gnz,gnz,org,origine,indirizzo,comune,provincia,gestore,categoria,cod_sta,data_agg,data_elab,icon_url
12.0081042748281,43.2103348745173,"68","68",RTT0900217SF,TERONTOLA-CORTONA,RTT0900217GK,"1744386.14","4788580.92","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Piazza Nazioni Unite,Cortona,AR,RFI,silver,"0100","20190904","20191024",./0.png
9.95960227370469,44.2380877884365,"69","69",RTT0900986SF,TERRAROSSA-TRESANA,RTT0900986GK,"1576655.636461","4898782.154974","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via della Cisa,Licciarda Nardi,MS,,,"0200","20190904","20191024",./0.png
10.3527272727946,43.6314903160831,"70","70",RTT0900623SF,TOMBOLO,RTT0900623GK,"1609152.155029","4831849.339424","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via Vecchia Aurelia,Pisa,LU,,,"0200","20190904","20191024",./0.png
10.2903318809507,43.8264598754936,"71","71",RTT0903267SF,TORRE DEL LAGO PUCCINI,RTT0903267GK,"1603781.57","4853423.71","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via D. Alighieri n. 14,Viareggio,LU,RFI,silver,"0100","20190904","20191024",./0.png
11.5524310877657,43.0866264834202,"72","72",RTT0903334SF,TORRENIERI - MONTALCINO,RTT0903334GK,"1707787.22","4773611.09","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Viale Bindo Crocchi,Montalcino,SI,,,"0200","20190904","20191024",./0.png
11.7877774597653,43.1741166753941,"73","73",RTT0902491SF,TORRITA DI SIENA,RTT0902491GK,"1726621.29","4783938.13","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via A. Grandi,Torrita di Siena,SI,RFI,bronze,"0100","20190904","20191024",./0.png
11.6031922676774,43.1941853450116,"74","74",RTT0902485SF,TREQUANDA,RTT0902485GK,"1711547.9","4785683.72","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Localita' Casa Cantoniera F.S. n. 14,Trequanda,SI,,,"0200","20190904","20191024",./0.png
11.2833027433847,43.906028486828,"75","75",RTT0901584SF,VAGLIA,RTT0901584GK,"1683382.86","4863986.05","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Viale Stazione,Vaglia,FI,RFI,bronze,"0100","20190904","20191024",./0.png
11.130753543346,43.9618371180921,"76","76",RTT0901363SF,VAIANO,RTT0901363GK,"1670972.49","4869857.45","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via di Moschignano,Vaiano,PO,RFI,silver,"0100","20190904","20191024",./0.png
10.9100119590904,43.9654723170858,"77","77",RTT0901208SF,VALDIBRANA,RTT0901208GK,"1653253.290955","4869827.599606","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via Stazione di Valdibrana,Pistoia,PT,,,"0200","20190904","20191024",./0.png
11.1523301486772,44.0439928751724,"78","78",RTT0901385SF,VERNIO-MONTEPIANO-CANTAGALLO,RTT0901385GK,"1672465.35","4879027.65","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via Roma,Vernio,PO,RFI,silver,"0100","20190904","20191024",./0.png
11.8272191846271,43.4571418195196,"79","79",RTT0903663SF,VIA CHIARI,RTT0903724GK,"1728762.52131","4815479.793051","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0700",da integrazione grafi,S.C. della Sella,Arezzo,AR,TFT,,"0300","20190904","20191024",./0.png
10.4604142093307,43.6092900276261,"80","80",RTT0900629SF,VICARELLO,RTT0900629GK,"1617882.768382","4829530.83126","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via delle Colline,Collesalvetti,LI,,,"0200","20190904","20191024",./0.png
11.457656499431,43.9334519672357,"81","81",RTT0901662SF,VICCHIO,RTT0901662GK,"1697293.63","4867433.93","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via B. Angelico n. 61,Vicchio,FI,RFI,silver,"0100","20190904","20191024",./0.png
10.6673053135132,42.9675671986966,"82","82",RTT0900387SF,VIGNALE RIOTORTO,RTT0900387GK,"1636001.31","4758576.12","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Piazza Stazione n. 1,Piombino,LI,RFI,bronze,"0100","20190904","20191024",./0.png
10.3676090133781,44.1467580432482,"83","83",RTT0900926SF,VILLETTA S.ROMANO,RTT0900926GK,"1609405.71","4889099.29","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via della Stazione n. 1,S.Romano in Garfagnana,LU,RFI,bronze,"0100","20190904","20191024",./0.png
10.8097839967793,43.3600629052789,"84","84",RTT0900114SF,VOLTERRA-SALINE-POMARANCE,RTT0900114GK,"1646679.21","4802405.96","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0205",estrazione da ctr25k,Piazza Ginori Conti 1,Volterra,PI,RFI,bronze,"0100","20190904","20191024",./0.png
11.2057284711166,43.8260670819861,"85","85",RTT0902813SF,ZAMBRA,RTT0902813GK,"1677390.310912","4854935.38568","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via Ruffini,Sesto Fiorentino,FI,RFI,silver,"0100","20190904","20191024",./0.png
10.4519621599468,44.0681021167297,"86","86",RTT0900900SF,BARGA-GALLICANO,RTT0900900GK,"1616306.24","4880478.34","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0205",estrazione da ctr25k,Via della Stazione,Barga,LU,RFI,bronze,"0100","20190904","20191024",./0.png
10.2476798597958,43.9122014504512,"87","87",RTT0900724SF,CAMAIORE LIDO CAPEZZANO,RTT0900724GK,"1600208.229496","4862894.297905","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Piazza Stazione,Camaiore,LU,RFI,bronze,"0100","20190904","20191024",./0.png
10.9591342479931,43.6306124942659,"88","88",RTT0900086SF,CAMBIANO,RTT0900086GK,"1658074.453325","4832727.513512","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Castelfiorentino,Castelfiorentino,FI,RFI,bronze,"0100","20190904","20191024",./0.png
10.5864212131151,43.0172297349726,"89","89",RTT0900012SF,CAMPIGLIA MARITTIMA,RTT0900012GK,"1629300.66","4763963.64","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via della Stazione,Campiglia Marittima,LI,RFI,silver,"0100","20190904","20191024",./0.png
11.3033579526614,43.937118339767,"90","90",RTT0901601SF,CAMPOMIGLIAIO,RTT0901601GK,"1684897.05","4867483.98","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Localita' Campomigliaio,Scarperia e San Piero,FI,RFI,bronze,"0100","20190904","20191024",./0.png
10.3354384711871,44.1608134637072,"91","91",RTT0902925SF,CAMPORGIANO,RTT0902925GK,"1606807.414616","4890618.210415","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via della stazione 1,Camporgiano,LU,RFI,bronze,"0100","20190904","20191024",./0.png
11.9711841768963,43.2613209683524,"92","92",RTT0902587SF,CAMUCIA CORTONA,RTT0902587GK,"1741185.5","4794136.42","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Piazza della Liberta' 5,Cortona,AR,RFI,silver,"0100","20190904","20191024",./0.png
11.3710961955479,42.4080710513369,"93","93",RTT0900032SF,CAPALBIO,RTT0900032GK,"1695144.1","4697821.95","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Piazza Aldo Moro,Capalbio,GR,RFI,silver,"0100","20190904","20191024",./0.png
11.8568746332841,43.5636536410599,"94","94",RTT0903661SF,CAPOLONA,RTT0903830GK,"1730755.493314","4827391.736977","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0300",da ortofoto,Via Petrarca,Capolona,AR,TFT,,"0100","20190904","20191024",./0.png
9.92717458459757,44.1734414724819,"95","95",RTT0900974SF,CAPRIGLIOLA-ALBIANO,RTT0900974GK,"1574147.13","4891571.87","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Strada Statale 62 della Cisa,Aulla,MS,,,"0200","20190904","20191024",./0.png
11.064317455699,43.7765318367272,"96","96",RTT0901412SF,CARMIGNANO,RTT0901412GK,"1666156.43","4849140.04","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Piazza Stazione,Carmignano,PO,,,"0200","20190904","20191024",./0.png
10.0628882109128,44.051274926013,"97","97",RTT0900765SF,CARRARA-AVENZA,RTT0900765GK,"1585171.54","4878133.76","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via Petacchi n.2,Carrara,MS,RFI,silver,"0100","20190904","20191024",./0.png
10.5454483154801,43.6745307989609,"98","98",RTT0903294SF,CASCINA,RTT0903294GK,"1624610.24","4836900.95","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Piazza Stazione n. 62,Cascina,PI,RFI,silver,"0100","20190904","20191024",./0.png
11.6605583352919,43.4965533866962,"99","99",RTT0901908SF,LATERINA,RTT0901908GK,"1715138.36","4819412.64","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Piazza Unita' d'Italia,Pergine Valdarno,AR,RFI,bronze,"0100","20190904","20191024",./0.png
